Daily NAV History	Balanced Income	Balanced	Balanced Growth	Dividend	Equity Growth
June 07, 2018	$13.07	$14.54	$15.35	$11.23	$18.96
June 06, 2018	$13.04	$14.49	$15.29	$11.17	$18.87
June 05, 2018	$13.06	$14.49	$15.28	$11.15	$18.85
June 04, 2018	$13.04	$14.45	$15.23	$11.12	$18.77
June 01, 2018	$13.04	$14.44	$15.21	$11.08	$18.71
May 31, 2018	$13.03	$14.41	$15.17	$11.06	$18.65
May 30, 2018	$13.00	$14.36	$15.12	$11.04	$18.58
May 29, 2018	$13.03	$14.38	$15.13	$11.02	$18.58
May 28, 2018	$13.01	$14.44	$15.23	$11.12	$18.77
May 25, 2018	$12.99	$14.43	$15.22	$11.13	$18.79
May 24, 2018	$12.96	$14.40	$15.20	$11.12	$18.76
May 23, 2018	$12.94	$14.40	$15.20	$11.15	$18.78
May 22, 2018	$12.91	$14.36	$15.17	$11.15	$18.74
May 18, 2018	$12.92	$14.39	$15.20	$11.15	$18.79
May 17, 2018	$12.89	$14.35	$15.16	$11.12	$18.74
May 16, 2018	$12.89	$14.34	$15.15	$11.11	$18.72
May 15, 2018	$12.91	$14.37	$15.19	$11.15	$18.78
May 14, 2018	$12.94	$14.39	$15.19	$11.14	$18.76
May 11, 2018	$12.95	$14.38	$15.16	$11.11	$18.70
May 10, 2018	$12.93	$14.34	$15.12	$11.08	$18.64
May 09, 2018	$12.92	$14.32	$15.09	$11.08	$18.60
May 08, 2018	$12.93	$14.32	$15.10	$11.09	$18.59
May 07, 2018	$12.91	$14.28	$15.03	$11.06	$18.48
May 04, 2018	$12.90	$14.25	$14.99	$11.03	$18.41
May 03, 2018	$12.87	$14.19	$14.92	$10.97	$18.30
May 02, 2018	$12.85	$14.18	$14.90	$10.98	$18.29
May 01, 2018	$12.88	$14.22	$14.96	$11.05	$18.37
April 30, 2018	$12.89	$14.21	$14.93	$11.03	$18.31
April 27, 2018	$12.91	$14.26	$15.00	$11.09	$18.43
April 26, 2018	$12.88	$14.23	$14.97	$11.06	$18.39
April 25, 2018	$12.83	$14.16	$14.88	$11.00	$18.26
April 24, 2018	$12.84	$14.15	$14.87	$10.98	$18.23
April 23, 2018	$12.87	$14.20	$14.93	$11.02	$18.33
April 20, 2018	$12.84	$14.14	$14.86	$10.95	$18.21
April 19, 2018	$12.84	$14.13	$14.84	$10.93	$18.18
April 18, 2018	$12.88	$14.18	$14.89	$11.00	$18.24
April 17, 2018	$12.87	$14.12	$14.81	$10.92	$18.10
April 16, 2018	$12.83	$14.06	$14.74	$10.87	$18.00
April 13, 2018	$12.84	$14.06	$14.73	$10.84	$17.96
April 12, 2018	$12.81	$14.04	$14.72	$10.85	$17.97
April 11, 2018	$12.82	$14.03	$14.68	$10.80	$17.89
April 10, 2018	$12.85	$14.08	$14.75	$10.87	$17.99
April 09, 2018	$12.85	$14.06	$14.72	$10.84	$17.93
April 06, 2018	$12.84	$14.04	$14.70	$10.81	$17.91
April 05, 2018	$12.86	$14.12	$14.82	$10.91	$18.12
April 04, 2018	$12.83	$14.05	$14.72	$10.81	$17.95
April 03, 2018	$12.84	$14.03	$14.68	$10.79	$17.88
April 02, 2018	$12.88	$14.08	$14.74	$10.82	$17.95
March 29, 2018	$12.94	$14.18	$14.85	$10.92	$18.13
March 28, 2018	$12.89	$14.09	$14.75	$10.83	$17.96
March 27, 2018	$12.88	$14.10	$14.76	$10.81	$18.00
March 26, 2018	$12.86	$14.12	$14.81	$10.82	$18.10
March 23, 2018	$12.83	$14.02	$14.67	$10.75	$17.85
March 22, 2018	$12.92	$14.19	$14.89	$10.92	$18.20
March 21, 2018	$12.95	$14.31	$15.07	$11.09	$18.51
March 20, 2018	$13.00	$14.39	$15.16	$11.15	$18.64
March 19, 2018	$13.02	$14.40	$15.17	$11.15	$18.64
March 16, 2018	$13.07	$14.50	$15.29	$11.24	$18.83
March 15, 2018	$13.06	$14.47	$15.26	$11.21	$18.78
March 14, 2018	$13.02	$14.40	$15.18	$11.15	$18.66
March 13, 2018	$12.99	$14.40	$15.19	$11.18	$18.69
March 12, 2018	$12.95	$14.35	$15.14	$11.15	$18.63
March 09, 2018	$12.92	$14.32	$15.10	$11.15	$18.58
March 08, 2018	$12.94	$14.32	$15.08	$11.13	$18.54
March 07, 2018	$12.92	$14.29	$15.05	$11.09	$18.49
March 06, 2018	$12.93	$14.28	$15.03	$11.09	$18.45
March 05, 2018	$12.94	$14.29	$15.03	$11.11	$18.45
March 02, 2018	$12.90	$14.18	$14.89	$10.97	$18.22
